Month,Random Value,New Stock Price,Action,Number of Stock,Worth,Bank Balance,Interest Amount,New Balance Amount
1,0.4088,100.0,None,0.0,0.0,1000.0,0.5,1000.5
2,0.9785,105.0,None,0.0,0.0,1000.5,0.5,1001.0
3,0.6497,99.75,None,0.0,0.0,1001.0,0.5,1001.5
4,0.3343,99.75,None,0.0,0.0,1001.5,0.5,1002.0
5,0.5396,94.76,Buy,10.573818762696876,1002.0,0.0,0.0,0.0
6,0.2429,94.76,None,10.573818762696876,1002.0,0.0,0.0,0.0
7,0.7329,90.02,None,10.573818762696876,951.9,0.0,0.0,0.0
8,0.1238,90.02,None,10.573818762696876,951.9,0.0,0.0,0.0
9,0.1665,90.02,None,10.573818762696876,951.9,0.0,0.0,0.0
10,0.4287,90.02,None,10.573818762696876,951.9,0.0,0.0,0.0
11,0.723,85.52,None,10.573818762696876,904.31,0.0,0.0,0.0
12,0.3034,85.52,None,10.573818762696876,904.31,0.0,0.0,0.0
13,0.4123,85.52,None,10.573818762696876,904.31,0.0,0.0,0.0
14,0.7013,81.25,None,10.573818762696876,859.09,0.0,0.0,0.0
15,0.2583,81.25,None,10.573818762696876,859.09,0.0,0.0,0.0
16,0.8365,85.31,None,10.573818762696876,902.05,0.0,0.0,0.0
17,0.9781,89.57,None,10.573818762696876,947.15,0.0,0.0,0.0
18,0.4655,89.57,None,10.573818762696876,947.15,0.0,0.0,0.0
19,0.7074,85.1,None,10.573818762696876,899.79,0.0,0.0,0.0
20,0.6577,80.84,None,10.573818762696876,854.8,0.0,0.0,0.0
21,0.9403,84.88,None,10.573818762696876,897.54,0.0,0.0,0.0
22,0.1988,84.88,None,10.573818762696876,897.54,0.0,0.0,0.0
23,0.1148,84.88,None,10.573818762696876,897.54,0.0,0.0,0.0
24,0.5205,80.64,None,10.573818762696876,852.66,0.0,0.0,0.0
25,0.5604,76.61,None,10.573818762696876,810.03,0.0,0.0,0.0
26,0.4915,76.61,None,10.573818762696876,810.03,0.0,0.0,0.0
27,0.4017,76.61,None,10.573818762696876,810.03,0.0,0.0,0.0
28,0.3993,76.61,None,10.573818762696876,810.03,0.0,0.0,0.0
29,0.8611,80.44,None,10.573818762696876,850.53,0.0,0.0,0.0
30,0.8081,84.46,None,10.573818762696876,893.06,0.0,0.0,0.0
31,0.1826,84.46,None,10.573818762696876,893.06,0.0,0.0,0.0
32,0.8071,88.68,None,10.573818762696876,937.71,0.0,0.0,0.0
33,0.8064,93.12,None,10.573818762696876,984.6,0.0,0.0,0.0
34,0.7525,97.77,None,10.573818762696876,1033.83,0.0,0.0,0.0
35,0.2163,97.77,None,10.573818762696876,1033.83,0.0,0.0,0.0
36,0.6608,92.88,None,10.573818762696876,982.14,0.0,0.0,0.0
37,0.2869,92.88,None,10.573818762696876,982.14,0.0,0.0,0.0
38,0.4703,92.88,None,10.573818762696876,982.14,0.0,0.0,0.0
39,0.7827,97.53,None,10.573818762696876,1031.24,0.0,0.0,0.0
40,0.8111,102.4,None,10.573818762696876,1082.8,0.0,0.0,0.0
41,0.8208,107.52,None,10.573818762696876,1136.95,0.0,0.0,0.0
42,0.2868,107.52,None,10.573818762696876,1136.95,0.0,0.0,0.0
43,0.1449,107.52,None,10.573818762696876,1136.95,0.0,0.0,0.0
44,0.0073,107.52,None,10.573818762696876,1136.95,0.0,0.0,0.0
45,0.0821,107.52,None,10.573818762696876,1136.95,0.0,0.0,0.0
46,0.5261,102.15,None,10.573818762696876,1080.1,0.0,0.0,0.0
47,0.863,107.26,None,10.573818762696876,1134.1,0.0,0.0,0.0
48,0.054,107.26,None,10.573818762696876,1134.1,0.0,0.0,0.0
49,0.9275,112.62,Sell,0.0,0.0,1190.81,0.6,1191.4
50,0.6787,106.99,None,0.0,0.0,1191.4,0.6,1192.0
51,0.5539,101.64,None,0.0,0.0,1192.0,0.6,1192.6
52,0.368,101.64,None,0.0,0.0,1192.6,0.6,1193.19
53,0.7559,106.72,None,0.0,0.0,1193.19,0.6,1193.79
54,0.8372,112.06,None,0.0,0.0,1193.79,0.6,1194.38
55,0.4602,112.06,None,0.0,0.0,1194.38,0.6,1194.98
56,0.8929,117.66,None,0.0,0.0,1194.98,0.6,1195.58
57,0.7643,123.54,None,0.0,0.0,1195.58,0.6,1196.18
58,0.7425,117.36,None,0.0,0.0,1196.18,0.6,1196.78
59,0.7037,111.5,None,0.0,0.0,1196.78,0.6,1197.37
60,0.3939,111.5,None,0.0,0.0,1197.37,0.6,1197.97
